id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
28758037,Berlin mit Familie,168667550,Birgit,Pankow,Buchholz,52.59755,13.43624,Entire home/apt,120,3,0,,,1,0,0,
28798580,Spacious private room in Neukölln,8589425,Džiovana,Neukölln,Rixdorf,52.47917,13.45576,Private room,28,3,5,2019-10-29,0.11,2,0,0,
29020366,Gitschin Palace,8165043,Benjamin,Friedrichshain-Kreuzberg,Südliche Friedrichstadt,52.49964,13.39917,Private room,99,1,1,2018-10-12,0.02,1,0,0,
29093580,Berlin Zuhause mit Balkonen,209203249,Janna,Friedrichshain-Kreuzberg,Südliche Friedrichstadt,52.50753,13.40015,Entire home/apt,50,14,32,2020-12-18,0.73,1,16,0,
29109824,Lebendiger Kiez und Ruhe zu gleich,111535696,Petra,Charlottenburg-Wilm.,Neue Kantstraße,52.50311,13.29357,Private room,65,2,1,2018-10-28,0.02,1,0,0,
29114660,Room with a living room & balcony,31153902,Marta,Friedrichshain-Kreuzberg,Frankfurter Allee Süd FK,52.51079,13.46623,Private room,50,2,3,2018-10-28,0.07,1,0,0,
29121411,"Berlin, nice located room, quiet and cozy",42152805,Mai,Pankow,Prenzlauer Berg Südwest,52.53739,13.41787,Private room,21,1,10,2020-01-17,0.23,1,0,0,
29174883,luxury Berlin Apartment next to Mauerpark,38936108,Hanna,Mitte,Brunnenstr. Süd,52.53784,13.4027,Entire home/apt,324,2,3,2019-09-15,0.07,1,86,0,
29282378,Gemütliches Zimmer im schönen Wrangelkiez,199007222,Patrick,Friedrichshain-Kreuzberg,südliche Luisenstadt,52.49589,13.44677,Private room,30,2,40,2021-10-17,0.90,1,0,2,
29347473,Minimalist Monochrome: Apartment in Berlin Mitte,12360,Michael,Mitte,Alexanderplatz,52.5279,13.39309,Entire home/apt,87,92,3,2021-02-08,0.11,20,0,0,
